Sum - Taux,Algos,,,,,,,
Longueur,distance1gram,distance2gram,distance3gram,distance4gram,distance5gram,distanceMots,nb10mots,tfidf
3700,"0,8541666667","0,9583333333","0,96875","0,9114583333","0,8697916667","0,8333333333","0,703125","0,8620689655"
3800,"0,9583333333","0,9010416667","0,875","0,96875","0,9270833333","0,7864583333","0,7604166667","0,9540229885"
3900,"0,9583333333","0,9010416667","0,9114583333","0,84375","0,8125","0,8333333333","0,796875","0,8620689655"
4000,"0,8817204301","0,8978494624","0,9408602151","0,9086021505","0,8172043011","0,7795698925","0,8279569892","0,9022988506"
4100,"0,8709677419","0,9086021505","0,9408602151","0,8978494624","0,9247311828","0,811827957","0,8279569892","0,9540229885"
4200,"0,8709677419","0,9408602151","0,9139784946","0,9301075269","0,8978494624","0,8279569892","0,6827956989","0,8620689655"
4300,"0,9277777778","0,9555555556","0,8666666667","0,8166666667","0,8722222222","0,7611111111","0,8055555556","0,9655172414"
4400,"0,8166666667","0,9555555556","0,9055555556","0,9388888889","0,8666666667","0,8333333333","0,7333333333","0,9655172414"
4500,"0,8666666667","0,9666666667","0,8944444444","0,9388888889","0,8611111111","0,8333333333","0,7611111111","0,9367816092"
4600,"0,9540229885","0,9022988506","0,908045977","0,8735632184","0,8563218391","0,7643678161","0,7356321839","0,9655172414"
4700,"0,8908045977","0,9655172414","0,9137931034","0,9540229885","0,8448275862","0,7873563218","0,6954022989","0,9642857143"
4800,"0,8275862069","0,9540229885","0,8735632184","0,9540229885","0,8275862069","0,7528735632","0,8045977011","0,9523809524"
4900,"0,9022988506","0,9655172414","0,9022988506","0,8908045977","0,8275862069","0,8275862069","0,724137931",1
5000,"0,9226190476","0,9880952381","0,9583333333","0,9345238095","0,8928571429","0,7797619048","0,8273809524","0,9382716049"
5100,"0,9047619048",1,"0,869047619","0,9047619048","0,7797619048","0,7916666667","0,75","0,9012345679"
5200,"0,9226190476","0,9345238095","0,9345238095","0,9345238095","0,880952381","0,8571428571","0,7619047619",1
5300,"0,8928571429",1,"0,9702380952","0,9880952381","0,8392857143","0,7916666667","0,8273809524",1
5400,"0,9226190476",1,"0,9583333333","0,9702380952","0,8571428571","0,7619047619","0,8452380952",1
5500,"0,9345238095","0,9047619048","0,9226190476","0,9702380952","0,9226190476","0,8452380952","0,8154761905",1
5600,"0,8928571429","0,9345238095","0,9880952381",1,"0,9523809524","0,8571428571","0,7916666667",1
5700,"0,8928571429",1,"0,9345238095","0,9880952381","0,8928571429","0,8571428571","0,7797619048",1
5800,"0,8928571429",1,"0,9702380952","0,9226190476","0,8988095238","0,8273809524","0,7916666667","0,9691358025"
5900,"0,9583333333","0,9702380952","0,9464285714","0,9345238095","0,8333333333","0,7321428571","0,8452380952",1
6000,"0,9382716049",1,"0,9567901235",1,"0,7839506173","0,7839506173","0,7530864198",1
6100,"0,9567901235",1,"0,975308642","0,9012345679","0,9320987654","0,7839506173","0,7839506173","0,9567901235"
6200,"0,9567901235",1,"0,987654321","0,987654321","0,8641975309","0,8518518519","0,7716049383","0,987654321"
6300,"0,8717948718","0,9294871795","0,8974358974","0,9551282051","0,9294871795","0,8717948718","0,8397435897",1
6400,"0,9038461538","0,9294871795","0,8653846154","0,9230769231","0,8333333333","0,8141025641","0,8012820513",1
6500,"0,9358974359",1,"0,9487179487",1,"0,8974358974","0,7820512821","0,7692307692",1
6600,"0,8653846154",1,"0,9423076923","0,9166666667","0,8717948718","0,8397435897","0,8717948718",1
6700,"0,9166666667","0,9294871795","0,9423076923","0,9551282051","0,9423076923","0,8397435897","0,8846153846",1
6800,"0,9679487179","0,9679487179","0,9807692308","0,9166666667","0,891025641","0,8846153846","0,8525641026",1
6900,"0,8846153846","0,9871794872","0,8717948718","0,9551282051","0,8397435897","0,8525641026","0,8525641026",1
7000,"0,8846153846","0,8141025641","0,9102564103",1,"0,891025641","0,8846153846","0,8717948718","0,9871794872"
7100,"0,8846153846","0,8461538462","0,9679487179",1,"0,9038461538","0,8525641026","0,7692307692",1
7200,"0,8846153846","0,9294871795","0,9679487179",1,"0,8012820513","0,8525641026","0,7692307692",1
7300,"0,8461538462",1,"0,9102564103",1,"0,8717948718","0,8012820513","0,7692307692","0,88"
7400,"0,84","0,9666666667","0,9066666667","0,9266666667","0,98","0,92","0,92",1
7500,"0,9333333333",1,"0,9333333333","0,9266666667","0,98","0,9066666667","0,92",1
7600,"0,9133333333","0,9866666667","0,94",1,"0,9266666667","0,92","0,8333333333","0,9236111111"
7700,"0,92","0,9266666667","0,94",1,"0,8666666667","0,8466666667","0,8133333333","0,9861111111"
7800,"0,8533333333",1,1,"0,9666666667","0,98","0,8866666667","0,8333333333",1
7900,"0,9333333333",1,"0,9266666667","0,9866666667","0,9066666667","0,8866666667","0,8333333333",1
8000,"0,9","0,8933333333","0,88",1,"0,8933333333","0,9066666667","0,8733333333","0,9236111111"
8100,"0,88",1,1,"0,9666666667","0,9466666667","0,92","0,8333333333",1
8200,"0,88",1,"0,9266666667",1,"0,9066666667","0,8866666667","0,8733333333",1
8300,"0,88","0,9666666667",1,1,"0,98","0,8866666667","0,8",1
8400,"0,8933333333","0,9266666667","0,9666666667","0,9866666667","0,94","0,8466666667","0,8133333333",1
8500,"0,84","0,9533333333",1,1,"0,94","0,8866666667","0,8",1
8600,"0,8402777778","0,9652777778","0,9097222222",1,"0,9652777778","0,8055555556","0,7916666667",1
8700,"0,9722222222",1,1,"0,9236111111","0,9236111111","0,9166666667","0,8819444444","0,9652777778"
8800,"0,9513888889",1,"0,9652777778",1,"0,9027777778","0,8402777778","0,8680555556","0,9652777778"
8900,"0,9097222222",1,"0,9097222222","0,9652777778","0,9236111111","0,9166666667","0,8680555556","0,9855072464"
9000,"0,875","0,9236111111","0,9236111111",1,"0,9791666667","0,9166666667","0,9166666667",1
9100,"0,9861111111","0,9652777778","0,9652777778","0,9236111111","0,9444444444","0,8263888889","0,9027777778","0,9130434783"
9200,"0,9097222222","0,9236111111","0,9861111111",1,"0,9236111111","0,9166666667","0,7916666667",1
9300,"0,9097222222","0,8888888889","0,9097222222","0,9652777778","0,9861111111","0,9166666667","0,9166666667",1
9400,"0,8888888889",1,1,1,1,"0,9027777778","0,7777777778",1
9500,"0,884057971","0,9855072464","0,9855072464",1,"0,9057971014","0,9565217391","0,8260869565",1
9600,"0,9202898551","0,9202898551","0,9855072464",1,"0,9855072464","0,9057971014","0,9057971014",1
9700,"0,8695652174","0,884057971","0,884057971","0,9637681159","0,884057971","0,8405797101","0,9565217391","0,8174603175"
9800,"0,8043478261","0,9637681159","0,9492753623","0,9202898551","0,9637681159","0,8623188406","0,9420289855",1
9900,"0,8260869565","0,9855072464","0,9057971014","0,884057971",1,"0,9420289855","0,8405797101","0,9761904762"
