Sum - Taux,Algos,,,,,,,
Longueur,distance1gram,distance2gram,distance3gram,distance4gram,distance5gram,distanceMots,nb10mots,tfidf
100,"0,65","0,7277777778","0,825","0,7777777778","0,7472222222","0,6777777778","0,5416666667","0,8416666667"
200,"0,7573099415","0,8479532164","0,8625730994","0,783625731","0,7251461988","0,6637426901","0,5467836257","0,8596491228"
300,"0,8601190476","0,9255952381","0,8333333333","0,8601190476","0,8005952381","0,8214285714","0,755952381","0,8928571429"
400,"0,796969697","0,8757575758","0,8515151515","0,9333333333","0,7696969697","0,7484848485","0,7424242424","0,8454545455"
500,"0,8240740741","0,9444444444","0,8518518519","0,8734567901","0,7962962963","0,7932098765","0,7561728395","0,9444444444"
600,"0,8425925926","0,9104938272","0,9290123457","0,8364197531","0,8055555556","0,8271604938","0,7098765432","0,9088050314"
700,"0,8553459119","0,9308176101","0,8773584906","0,8679245283","0,8176100629","0,7798742138","0,7075471698","0,9433962264"
800,"0,8427672956","0,9433962264","0,8867924528","0,9213836478","0,8616352201","0,8144654088","0,7610062893","0,9423076923"
900,"0,8018867925","0,9025157233","0,8867924528","0,8176100629","0,8176100629","0,8144654088","0,7735849057","0,9133333333"
1000,"0,76","0,8866666667","0,8633333333","0,8766666667","0,87","0,8033333333","0,7833333333","0,8993055556"
1100,"0,8163265306","0,9387755102","0,880952381","0,887755102","0,7891156463","0,7619047619","0,7551020408","0,9131944444"
1200,"0,8194444444","0,9375","0,875","0,8229166667","0,7569444444","0,7673611111","0,7743055556","0,8226950355"
1300,"0,8680555556","0,9236111111","0,9027777778","0,8194444444","0,8402777778","0,8125","0,7013888889","0,9333333333"
1400,"0,829787234","0,8971631206","0,9184397163","0,9113475177","0,8865248227","0,7907801418","0,7695035461","0,9242424242"
1500,"0,8333333333","0,8949275362","0,9166666667","0,847826087","0,8514492754","0,8043478261","0,8043478261","0,8798449612"
1600,"0,7992424242","0,9242424242","0,8446969697","0,8863636364","0,875","0,7954545455","0,6931818182","0,9031007752"
1700,"0,9069767442","0,8682170543","0,9341085271","0,8914728682","0,8527131783","0,8139534884","0,7054263566","0,9512195122"
1800,"0,873015873","0,9246031746","0,9325396825","0,8452380952","0,8968253968","0,7817460317","0,7142857143","0,906504065"
1900,"0,8571428571","0,9246031746","0,9523809524","0,9087301587","0,9047619048","0,7896825397","0,7142857143","0,95"
2000,"0,8902439024","0,9512195122","0,906504065","0,9146341463","0,8170731707","0,8048780488","0,7804878049","0,9416666667"
2100,"0,8333333333","0,9430894309","0,8861788618","0,8902439024","0,8495934959","0,7845528455","0,7357723577","0,9291666667"
2200,"0,8902439024","0,9430894309","0,906504065","0,8577235772","0,8495934959","0,8048780488","0,7764227642","0,9041666667"
2300,"0,9166666667","0,8958333333","0,9416666667","0,8125","0,7791666667","0,8","0,725","0,8717948718"
2400,"0,8041666667","0,9041666667","0,9333333333","0,875","0,8166666667","0,7541666667","0,8","0,9487179487"
2500,"0,8552631579","0,8771929825","0,9254385965","0,9342105263","0,8552631579","0,7938596491","0,6666666667","0,962962963"
2600,"0,9166666667","0,9035087719","0,9035087719","0,9385964912","0,951754386","0,8333333333","0,8421052632","0,9476190476"
2700,"0,8464912281","0,9254385965","0,9736842105","0,8552631579","0,9298245614","0,8201754386","0,7719298246","0,8857142857"
2800,"0,9144144144","0,8738738739","0,9414414414","0,8738738739","0,8783783784","0,8378378378","0,8378378378","0,9705882353"
2900,"0,8857142857","0,9142857143","0,919047619","0,9047619048","0,9047619048","0,7761904762","0,819047619","0,9166666667"
3000,"0,8904761905","0,9476190476","0,919047619","0,9476190476","0,8666666667","0,8047619048","0,7761904762","0,9696969697"
3100,"0,9142857143","0,9142857143","0,9142857143","0,9714285714","0,8952380952","0,8047619048","0,7952380952","0,96875"
3200,"0,8823529412","0,9068627451","0,8676470588","0,9215686275","0,862745098","0,7696078431","0,7647058824","0,96875"
3300,"0,8970588235","0,9068627451","0,8823529412","0,9166666667","0,8382352941","0,8235294118","0,7156862745","0,96875"
3400,"0,9509803922","0,9705882353","0,9460784314","0,9705882353","0,9117647059","0,8137254902","0,8235294118","0,96875"
3500,"0,9242424242","0,9494949495","0,9343434343","0,9696969697","0,8181818182","0,8181818182","0,7424242424","0,9583333333"
3600,"0,9343434343","0,8888888889","0,9444444444","0,9343434343","0,8535353535","0,7626262626","0,7272727273","0,96875"
